Algoritmo,Tam_tablero,Estados_recorridos,Val_minimo,poblacion,time_seg
Hill Climbing,10,3,0,NA,0.0017147064208984375
Hill Climbing,10,4,1,NA,0.0022652149200439453
Simulated Annealing,10,9,0,NA,0.005116939544677734
Simulated Annealing,10,7,0,NA,0.004007577896118164
Simulated Annealing,10,4,0,NA,0.0022885799407958984
Simulated Annealing,10,7,0,NA,0.0039501190185546875
Simulated Annealing,10,20,0,NA,0.011243581771850586
Simulated Annealing,10,10,0,NA,0.005663633346557617
Simulated Annealing,10,2,0,NA,0.0011827945709228516
Simulated Annealing,10,3,0,NA,0.0017476081848144531
Simulated Annealing,10,33,0,NA,0.018496274948120117
Simulated Annealing,10,22,0,NA,0.012350082397460938
Simulated Annealing,10,8,0,NA,0.004552602767944336
Simulated Annealing,10,13,0,NA,0.0073337554931640625
Simulated Annealing,10,3,0,NA,0.001744985580444336
Simulated Annealing,10,2,0,NA,0.0011963844299316406
Simulated Annealing,10,18,0,NA,0.01012730598449707
Simulated Annealing,10,6,0,NA,0.0034132003784179688
Simulated Annealing,10,1,0,NA,0.0006322860717773438
Simulated Annealing,10,7,0,NA,0.003988504409790039
Simulated Annealing,10,17,0,NA,0.009556293487548828
Simulated Annealing,10,11,0,NA,0.006196737289428711
Simulated Annealing,10,15,0,NA,0.008440494537353516
Simulated Annealing,10,17,0,NA,0.009552478790283203
Simulated Annealing,10,11,0,NA,0.006203651428222656
Simulated Annealing,10,3,0,NA,0.001752614974975586
Simulated Annealing,10,4,0,NA,0.0022895336151123047
Simulated Annealing,10,6,0,NA,0.003422975540161133
Simulated Annealing,10,18,0,NA,0.010068893432617188
Simulated Annealing,10,15,0,NA,0.00841832160949707
Simulated Annealing,10,8,0,NA,0.004548311233520508
Simulated Annealing,10,4,0,NA,0.0022945404052734375
Algoritmo Genetico,10,1,0,90,0.013134479522705078
Algoritmo Genetico,10,11,0,90,0.07143378257751465
Algoritmo Genetico,10,21,0,90,0.12945318222045898
Algoritmo Genetico,10,4,0,90,0.03156232833862305
Algoritmo Genetico,10,15,0,90,0.09416651725769043
Algoritmo Genetico,10,12,0,90,0.0754094123840332
Algoritmo Genetico,10,19,0,90,0.09946322441101074
Algoritmo Genetico,10,22,0,90,0.11270999908447266
Algoritmo Genetico,10,18,0,90,0.09337210655212402
Algoritmo Genetico,10,7,0,90,0.040320634841918945
Algoritmo Genetico,10,3,0,90,0.020676612854003906
Algoritmo Genetico,10,17,0,90,0.08862972259521484
Algoritmo Genetico,10,12,0,90,0.06574773788452148
Algoritmo Genetico,10,6,0,90,0.036364078521728516
Algoritmo Genetico,10,13,0,90,0.0693821907043457
Algoritmo Genetico,10,8,0,90,0.04493379592895508
Algoritmo Genetico,10,14,0,90,0.07410764694213867
Algoritmo Genetico,10,8,0,90,0.04497170448303223
Algoritmo Genetico,10,10,0,90,0.05418825149536133
Algoritmo Genetico,10,11,0,90,0.0595090389251709
Algoritmo Genetico,10,14,0,90,0.07420778274536133
Algoritmo Genetico,10,15,0,90,0.07913851737976074
Algoritmo Genetico,10,7,0,90,0.040076255798339844
Algoritmo Genetico,10,25,0,90,0.12853336334228516
Algoritmo Genetico,10,28,0,90,0.14185190200805664
Algoritmo Genetico,10,4,0,90,0.02543783187866211
Algoritmo Genetico,10,3,0,90,0.02071213722229004
Algoritmo Genetico,10,15,0,90,0.07879257202148438
Algoritmo Genetico,10,12,0,90,0.06397509574890137
Algoritmo Genetico,10,12,0,90,0.0640251636505127
Hill Climbing,12,5,1,NA,0.00403904914855957
Hill Climbing,12,4,1,NA,0.003199338912963867
Hill Climbing,12,4,0,NA,0.0032122135162353516
Hill Climbing,12,2,0,NA,0.0016732215881347656
Hill Climbing,12,4,1,NA,0.0031969547271728516
Hill Climbing,12,3,1,NA,0.0024518966674804688
Hill Climbing,12,4,1,NA,0.003253459930419922
Hill Climbing,12,3,1,NA,0.0024726390838623047
Hill Climbing,12,3,2,NA,0.002474069595336914
Hill Climbing,12,3,0,NA,0.0024547576904296875
Hill Climbing,12,2,3,NA,0.0016891956329345703
Hill Climbing,12,4,1,NA,0.0032401084899902344
Hill Climbing,12,4,1,NA,0.003232717514038086
Hill Climbing,12,4,1,NA,0.003210783004760742
Hill Climbing,12,4,1,NA,0.003247499465942383
Hill Climbing,12,5,0,NA,0.004019260406494141
Hill Climbing,12,4,1,NA,0.0032241344451904297
Hill Climbing,12,3,1,NA,0.0024678707122802734
Hill Climbing,12,4,1,NA,0.003266572952270508
Hill Climbing,12,4,1,NA,0.0032448768615722656
Hill Climbing,12,3,1,NA,0.0024971961975097656
Hill Climbing,12,4,2,NA,0.0032625198364257812
Hill Climbing,12,4,1,NA,0.003259897232055664
Hill Climbing,12,4,1,NA,0.003228902816772461
Hill Climbing,12,4,0,NA,0.0032410621643066406
Hill Climbing,12,5,1,NA,0.004006624221801758
Hill Climbing,12,3,1,NA,0.002461671829223633
Hill Climbing,12,3,1,NA,0.0024535655975341797
Hill Climbing,12,4,1,NA,0.0032317638397216797
Hill Climbing,12,2,3,NA,0.001692056655883789
Simulated Annealing,12,29,0,NA,0.023102521896362305
Simulated Annealing,12,8,0,NA,0.006456136703491211
Simulated Annealing,12,3,0,NA,0.002470731735229492
Simulated Annealing,12,5,0,NA,0.004034757614135742
Simulated Annealing,12,3,0,NA,0.002464771270751953
Simulated Annealing,12,4,0,NA,0.0032444000244140625
Simulated Annealing,12,50,0,NA,0.03939008712768555
Simulated Annealing,12,9,0,NA,0.007209300994873047
Simulated Annealing,12,7,0,NA,0.005599498748779297
Simulated Annealing,12,6,0,NA,0.0048024654388427734
Simulated Annealing,12,18,0,NA,0.014298677444458008
Simulated Annealing,12,2,0,NA,0.0016481876373291016
Simulated Annealing,12,11,0,NA,0.008803606033325195
Simulated Annealing,12,7,0,NA,0.00564265251159668
Simulated Annealing,12,14,0,NA,0.011180400848388672
Simulated Annealing,12,3,0,NA,0.0024657249450683594
Simulated Annealing,12,5,0,NA,0.004070281982421875
Simulated Annealing,12,7,0,NA,0.005677223205566406
Simulated Annealing,12,53,0,NA,0.04195427894592285
Simulated Annealing,12,13,0,NA,0.01031804084777832
Simulated Annealing,12,14,0,NA,0.011195182800292969
Simulated Annealing,12,3,0,NA,0.0024566650390625
Simulated Annealing,12,7,0,NA,0.005634307861328125
Simulated Annealing,12,9,0,NA,0.007192134857177734
Simulated Annealing,12,12,0,NA,0.009544134140014648
Simulated Annealing,12,17,0,NA,0.013533353805541992
Simulated Annealing,12,33,0,NA,0.026215314865112305
Simulated Annealing,12,9,0,NA,0.007182598114013672
Simulated Annealing,12,5,0,NA,0.00406193733215332
Simulated Annealing,12,7,0,NA,0.005590200424194336
Algoritmo Genetico,12,23,0,90,0.15964412689208984
Algoritmo Genetico,12,12,0,90,0.08728837966918945
Algoritmo Genetico,12,25,0,90,0.17337584495544434
Algoritmo Genetico,12,50,0,90,0.3347647190093994
Algoritmo Genetico,12,31,0,90,0.2115647792816162
Algoritmo Genetico,12,12,0,90,0.08810949325561523
Algoritmo Genetico,12,6,0,90,0.04749321937561035
Algoritmo Genetico,12,36,0,90,0.24528169631958008
Algoritmo Genetico,12,22,0,90,0.15252995491027832
Algoritmo Genetico,12,111,0,90,0.7336325645446777
Algoritmo Genetico,12,25,0,90,0.1726665496826172
Algoritmo Genetico,12,14,0,90,0.10070443153381348
Algoritmo Genetico,12,29,0,90,0.1982266902923584
Algoritmo Genetico,12,16,0,90,0.11361050605773926
Algoritmo Genetico,12,33,0,90,0.22482609748840332
Algoritmo Genetico,12,50,0,90,0.3378589153289795
Algoritmo Genetico,12,36,0,90,0.2450394630432129
Algoritmo Genetico,12,39,0,90,0.2657644748687744
Algoritmo Genetico,12,47,0,90,0.3168818950653076
Algoritmo Genetico,12,7,0,90,0.05417943000793457
Algoritmo Genetico,12,69,0,90,0.4638783931732178
Algoritmo Genetico,12,33,0,90,0.22481465339660645
Algoritmo Genetico,12,38,0,90,0.2578713893890381
Algoritmo Genetico,12,25,0,90,0.17309045791625977
Algoritmo Genetico,12,18,0,90,0.1269543170928955
Algoritmo Genetico,12,14,0,90,0.10137152671813965
Algoritmo Genetico,12,12,0,90,0.08733057975769043
Algoritmo Genetico,12,21,0,90,0.14614510536193848
Algoritmo Genetico,12,97,0,90,0.6432497501373291
Algoritmo Genetico,12,16,0,90,0.11338996887207031
Hill Climbing,15,4,0,NA,0.0063343048095703125
Hill Climbing,15,5,0,NA,0.007714271545410156
Hill Climbing,15,3,2,NA,0.004720449447631836
Hill Climbing,15,4,1,NA,0.006237983703613281
Hill Climbing,15,5,1,NA,0.0077817440032958984
Hill Climbing,15,4,1,NA,0.00621795654296875
Hill Climbing,15,4,1,NA,0.0062291622161865234
Hill Climbing,15,6,2,NA,0.009280920028686523
Hill Climbing,15,5,1,NA,0.007758140563964844
Hill Climbing,15,2,0,NA,0.0032007694244384766
Hill Climbing,15,3,2,NA,0.004686832427978516
Hill Climbing,15,5,1,NA,0.0077800750732421875
Hill Climbing,15,5,1,NA,0.007761955261230469
Hill Climbing,15,5,1,NA,0.007734775543212891
Hill Climbing,15,3,0,NA,0.004698514938354492
Hill Climbing,15,4,0,NA,0.006222963333129883
Hill Climbing,15,5,0,NA,0.0077800750732421875
Hill Climbing,15,6,1,NA,0.009294748306274414
Hill Climbing,15,4,2,NA,0.0062520503997802734
Hill Climbing,15,5,1,NA,0.007741689682006836
Hill Climbing,15,4,0,NA,0.006222248077392578
Hill Climbing,15,5,0,NA,0.007742881774902344
Hill Climbing,15,4,0,NA,0.0062427520751953125
Hill Climbing,15,5,1,NA,0.007788419723510742
Hill Climbing,15,6,1,NA,0.009238719940185547
Hill Climbing,15,6,2,NA,0.009273767471313477
Hill Climbing,15,3,1,NA,0.004709005355834961
Hill Climbing,15,3,2,NA,0.00470423698425293
Hill Climbing,15,3,1,NA,0.0047147274017333984
Hill Climbing,15,6,1,NA,0.009275674819946289
Simulated Annealing,15,29,0,NA,0.044467926025390625
Simulated Annealing,15,13,0,NA,0.019985675811767578
Simulated Annealing,15,9,0,NA,0.013842105865478516
Simulated Annealing,15,9,0,NA,0.014054298400878906
Simulated Annealing,15,11,0,NA,0.01708507537841797
Simulated Annealing,15,11,0,NA,0.017166852951049805
Simulated Annealing,15,8,0,NA,0.012428522109985352
Simulated Annealing,15,4,0,NA,0.006256580352783203
Simulated Annealing,15,10,0,NA,0.015510320663452148
Simulated Annealing,15,11,0,NA,0.017135143280029297
Simulated Annealing,15,18,0,NA,0.02794647216796875
Simulated Annealing,15,16,0,NA,0.024730682373046875
Simulated Annealing,15,5,0,NA,0.007895231246948242
Simulated Annealing,15,3,0,NA,0.004805564880371094
Simulated Annealing,15,4,0,NA,0.0063321590423583984
Simulated Annealing,15,54,0,NA,0.08380722999572754
Simulated Annealing,15,4,0,NA,0.006354093551635742
Simulated Annealing,15,39,0,NA,0.06056356430053711
Simulated Annealing,15,6,0,NA,0.009388446807861328
Simulated Annealing,15,14,0,NA,0.02175307273864746
Simulated Annealing,15,26,0,NA,0.040437936782836914
Simulated Annealing,15,19,0,NA,0.029575824737548828
Simulated Annealing,15,4,0,NA,0.0063211917877197266
Simulated Annealing,15,12,0,NA,0.01872992515563965
Simulated Annealing,15,6,0,NA,0.009426355361938477
Simulated Annealing,15,4,0,NA,0.0063228607177734375
Simulated Annealing,15,21,0,NA,0.032698631286621094
Simulated Annealing,15,33,0,NA,0.051316261291503906
Simulated Annealing,15,4,0,NA,0.006365537643432617
Simulated Annealing,15,6,0,NA,0.009454965591430664
Algoritmo Genetico,15,31,0,90,0.31507158279418945
Algoritmo Genetico,15,255,0,90,2.4776837825775146
Algoritmo Genetico,15,436,0,90,4.26874852180481
Algoritmo Genetico,15,380,0,90,3.711158037185669
Algoritmo Genetico,15,53,0,90,0.5299375057220459
Algoritmo Genetico,15,81,0,90,0.799074649810791
Algoritmo Genetico,15,411,0,90,4.005295038223267
Algoritmo Genetico,15,399,0,90,3.8974266052246094
Algoritmo Genetico,15,28,0,90,0.2880063056945801
Algoritmo Genetico,15,35,0,90,0.3532443046569824
Algoritmo Genetico,15,4,0,90,0.05080151557922363
Algoritmo Genetico,15,41,0,90,0.41016054153442383
Algoritmo Genetico,15,171,0,90,1.6706032752990723
Algoritmo Genetico,15,82,0,90,0.8182682991027832
Algoritmo Genetico,15,677,0,90,6.600106954574585
Algoritmo Genetico,15,525,0,90,5.134464502334595
Algoritmo Genetico,15,52,0,90,0.5232386589050293
Algoritmo Genetico,15,12,0,90,0.12863683700561523
Algoritmo Genetico,15,72,0,90,0.7116022109985352
Algoritmo Genetico,15,19,0,90,0.19596004486083984
Algoritmo Genetico,15,295,0,90,2.8833670616149902
Algoritmo Genetico,15,205,0,90,1.9932386875152588
Algoritmo Genetico,15,50,0,90,0.497128963470459
Algoritmo Genetico,15,97,0,90,0.9546027183532715
Algoritmo Genetico,15,42,0,90,0.4184885025024414
Algoritmo Genetico,15,106,0,90,1.0371925830841064
Algoritmo Genetico,15,122,0,90,1.1916313171386719
Algoritmo Genetico,15,58,0,90,0.5752742290496826
Algoritmo Genetico,15,99,0,90,0.9717249870300293
Algoritmo Genetico,15,57,0,90,0.5643889904022217
